الفعل,المسار,الاسم,المتحكّم,الوسطاء,التصنيف,ملاحظة
GET,/admin/audit/{id},audit.show,"Web\AuditController@show","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/control,control.index,"Web\ControlController@index","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/currency-rates,currency.rates,"Web\CurrencyRateController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/currency-rates,currency.rates.store,"Web\CurrencyRateController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/currency-rates/{id},currency.rates.destroy,"Web\CurrencyRateController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/demo/off,demo.off,Closure,"web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/demo/reset,demo.reset,Closure,"web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/errors,errors.index,"Web\ErrorCenterController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/errors/logs,errors.logs,"Web\ErrorCenterController@logs","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/errors/{id},errors.show,"Web\ErrorCenterController@show","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/errors/{id}/status,errors.status,"Web\ErrorCenterController@status","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/errors/{id}/task,errors.task,"Web\ErrorCenterController@toTask","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/features,features.index,"Web\FeatureController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/features/{key},features.show,"Web\FeatureController@show","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/features/{key}/toggle,features.toggle,"Web\FeatureController@toggle","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/fields,fields.index,"Web\CustomFieldController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/fields,fields.store,"Web\CustomFieldController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/fields/{module}/{key},fields.destroy,"Web\CustomFieldController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/flows,flows.index,"Web\FlowController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/flows,flows.store,"Web\FlowController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/flows/bulk,flows.bulk,"Web\FlowController@bulk","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
PUT,/admin/flows/{id},flows.update,"Web\FlowController@update","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/flows/{id},flows.destroy,"Web\FlowController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/flows/{id}/duplicate,flows.duplicate,"Web\FlowController@duplicate","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/flows/{id}/edit,flows.edit,"Web\FlowController@edit","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/flows/{id}/sandbox,flows.sandbox,"Web\FlowController@sandbox","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/flows/{id}/toggle,flows.toggle,"Web\FlowController@toggle","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/incidents/{id}/link,incidents.link,"Web\IncidentLinkController@store","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations,integrations.index,"Web\IntegrationController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations/guide,integrations.guide,"Web\IntegrationController@guide","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations/hooks,hooks.index,"Web\InboundHookController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/hooks,hooks.store,"Web\InboundHookController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/integrations/hooks/{id},hooks.destroy,"Web\InboundHookController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/hooks/{id}/toggle,hooks.toggle,"Web\InboundHookController@toggle","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations/messaging,integrations.messaging,"Web\MessagingController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/messaging/mail,integrations.messaging.mail,"Web\MessagingController@mail","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/messaging/retry,integrations.messaging.retry,"Web\MessagingController@retry","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/messaging/telegram,integrations.messaging.telegram,"Web\MessagingController@telegram","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/messaging/test,integrations.messaging.test,"Web\MessagingController@test","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations/n8n,integrations.n8n,"Web\N8nController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/n8n,integrations.n8n.save,"Web\N8nController@save","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/n8n/test,integrations.n8n.test,"Web\N8nController@test","web · auth · throttle:10,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/integrations/odoo,integrations.odoo,"Web\OdooConnectionController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/odoo,integrations.odoo.store,"Web\OdooConnectionController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/odoo/defaults,integrations.odoo.defaults,"Web\OdooConnectionController@defaults","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
PUT,/admin/integrations/odoo/{id},integrations.odoo.update,"Web\OdooConnectionController@update","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/integrations/odoo/{id},integrations.odoo.destroy,"Web\OdooConnectionController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/odoo/{id}/test,integrations.odoo.test,"Web\OdooConnectionController@test","web · auth · throttle:10,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/integrations/odoo/{id}/toggle,integrations.odoo.toggle,"Web\OdooConnectionController@toggle","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/mobile-platform,mobileplatform.index,"Web\MobilePlatformController@index","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/mobile-platform/push/test,mobileplatform.push.test,"Web\MobilePlatformController@pushTest","web · auth · throttle:6,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/mobile-platform/sessions/{id}/revoke,mobileplatform.session.revoke,"Web\MobilePlatformController@revokeSession","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/ops,ops.index,"Web\OpsController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/backup,ops.backup,"Web\OpsController@backupNow","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/clear-cache,ops.clearcache,"Web\OpsController@clearCache","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/ops/health,ops.health,"Web\OpsController@healthDetail","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/maintenance,ops.maintenance,"Web\OpsController@toggleMaintenance","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/migrate,ops.migrate,"Web\OpsController@migrate","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/outbox/{id}/retry,ops.outbox.retry,"Web\OpsController@outboxRetry","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/ops/runbooks,ops.runbooks,"Web\OpsController@runbooks","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/schema-check,ops.schemacheck,"Web\OpsController@schemaCheck","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/starters,ops.starters,"Web\OpsController@starters","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/test-error,ops.testerror,"Web\OpsController@testError","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/ops/verify-audit,ops.verifyaudit,"Web\OpsController@verifyAudit","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/quality,quality.index,"Web\QualityController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/quality/merge,quality.merge,"Web\QualityController@merge","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/quality/merge/preview,quality.merge.preview,"Web\QualityController@preview","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/roles,roles.index,"Web\RoleController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/roles,roles.store,"Web\RoleController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/roles/create,roles.create,"Web\RoleController@create","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
PUT,/admin/roles/{role},roles.update,"Web\RoleController@update","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/roles/{role},roles.destroy,"Web\RoleController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/roles/{role}/clone,roles.clone,"Web\RoleController@clone","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/roles/{role}/edit,roles.edit,"Web\RoleController@edit","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security,security.index,"Web\SecurityController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/blocks,security.blocks,"Web\SecurityController@blocks","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/blocks,security.blocks.store,"Web\SecurityController@blockStore","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/blocks/{id}/extend,security.blocks.extend,"Web\SecurityController@blockExtend","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/blocks/{id}/revoke,security.blocks.revoke,"Web\SecurityController@blockRevoke","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/devices,security.devices,"Web\SecurityController@devices","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/event/{source}/{id},security.event,"Web\SecurityController@event","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/findings,security.findings,"Web\SecurityController@findings","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/findings/{id},security.finding,"Web\SecurityController@finding","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/findings/{id}/ack,security.finding.ack,"Web\SecurityController@findingAck","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/findings/{id}/resolve,security.finding.resolve,"Web\SecurityController@findingResolve","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/freeze/{key},security.freeze,"Web\SecurityController@freeze","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/identity,security.identity,"Web\SecurityController@identity","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/ips,security.ips,"Web\SecurityController@ips","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/ips/{ip},security.ip,"Web\SecurityController@ip","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/lockdown,security.lockdown,"Web\SecurityController@lockdown","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/privileged,security.privileged,"Web\SecurityController@privileged","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/secrets,security.secrets,"Web\SecurityController@secrets","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/sessions,security.sessions,"Web\SecurityController@sessions","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/sessions/{id}/revoke,security.session.revoke,"Web\SecurityController@revokeSession","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/security/tokens,security.tokens,"Web\SecurityController@tokens","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/tokens/{id}/revoke,security.token.revoke,"Web\SecurityController@revokeToken","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/users/{id}/revoke,security.user.revoke,"Web\SecurityController@revokeUser","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/security/users/{id}/revoke-others,security.user.revokeothers,"Web\SecurityController@revokeOthers","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/settings,settings.edit,"Web\SettingController@edit","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings,settings.update,"Web\SettingController@update","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/settings/export,settings.export,"Web\SettingController@export","web · auth · throttle:20,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings/import,settings.import,"Web\SettingController@import","web · auth · throttle:20,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings/import/apply,settings.import.apply,"Web\SettingController@importApply","web · auth · throttle:20,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings/odoo-test,settings.odoo.test,"Web\SettingController@odooTest","web · auth · throttle:10,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings/preview,settings.preview,"Web\SettingController@preview","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/settings/restore,settings.restore,"Web\SettingController@restore","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/users,users.index,"Web\UserController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/users,users.store,"Web\UserController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/users/create,users.create,"Web\UserController@create","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/users/{id}/restore,users.restore,"Web\UserController@restore","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
PUT,/admin/users/{user},users.update,"Web\UserController@update","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/users/{user},users.destroy,"Web\UserController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/users/{user}/edit,users.edit,"Web\UserController@edit","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/users/{user}/twofa-off,users.twofa.off,"Web\UserController@twofaOff","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/users/{user}/unlock,users.unlock,"Web\UserController@unlock","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/webhooks,webhooks.index,"Web\WebhookController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/webhooks,webhooks.store,"Web\WebhookController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
DELETE,/admin/webhooks/{id},webhooks.destroy,"Web\WebhookController@destroy","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/webhooks/{id}/log,webhooks.log,"Web\WebhookController@log","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/webhooks/{id}/resend/{did},webhooks.resend,"Web\WebhookController@resend","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/webhooks/{id}/test,webhooks.test,"Web\WebhookController@test","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/webhooks/{id}/toggle,webhooks.toggle,"Web\WebhookController@toggle","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/alerts,alerts,"Web\AlertController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/api/mobile/v1/activation/{token},mobile.activation.show,"Api\MobileActivationController@show","api · throttle:12,1","عامٌّ مقصود","نظيرُ activate.show على الجوال · خانق 12/د · المجهول 404"
POST,/api/mobile/v1/activation/{token}/complete,mobile.activation.complete,"Api\MobileActivationController@complete","api · throttle:6,1","عامٌّ مقصود","نظيرُ activate.set — الخطوتان ذرّيّتان · خانق 6/د"
GET,/api/mobile/v1/app-config,mobile.app_config,"Api\MobileAuthController@appConfig","api · throttle:60,1","عامٌّ مقصود","إعداداتُ التطبيقِ قبل الدخول · خانق 60/د"
GET,/api/mobile/v1/approvals,mobile.approvals.index,"Api\MobileWorkController@approvals","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
GET,/api/mobile/v1/approvals/{id},mobile.approvals.show,"Api\MobileWorkController@approvalShow","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
POST,/api/mobile/v1/approvals/{id}/approve,mobile.approvals.approve,"Api\MobileWorkController@approvalApprove","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
POST,/api/mobile/v1/approvals/{id}/reject,mobile.approvals.reject,"Api\MobileWorkController@approvalReject","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
POST,/api/mobile/v1/auth/login,mobile.auth.login,"Api\MobileAuthController@login","api · throttle:10,1","عامٌّ مقصود","بابُ الدخول · خانق 10/د + AccountLockout لكلِّ حساب"
POST,/api/mobile/v1/auth/logout,mobile.auth.logout,"Api\MobileAuthController@logout","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
POST,/api/mobile/v1/auth/logout-all,mobile.auth.logout_all,"Api\MobileAuthController@logoutAll","api · throttle:api · mobile.session · mobile.portal · mobile.context",محروس,"جلسةُ جوالٍ + سياجُ العميل + سياقُ العرض"
POST,/api/mobile/v1/auth/mfa/verify,mobile.auth.mfa_verify,"Api\MobileAuthController@mfaVerify","api · throttle:6,1","عامٌّ مقصود","تحقّقٌ ثنائيٌّ بتحدٍّ مخزَّنٍ في الخبيئة · خانق 6/د"
POST,/api/mobile/v1/auth/refresh,mobile.auth.refresh,"Api\MobileAuthController@refresh","api · throttle:20,1","عامٌّ مقصود","تدويرُ الرمز — يصادِق برمز التحديث في معالجه · خانق 20/د"
